Entity,Code,Year,Democracy
Cote d'Ivoire,CIV,2011,4
Cote d'Ivoire,CIV,2012,4
Cote d'Ivoire,CIV,2013,4
Cote d'Ivoire,CIV,2014,4
Cote d'Ivoire,CIV,2015,4
Cote d'Ivoire,CIV,2016,4
Cote d'Ivoire,CIV,2017,4
Cote d'Ivoire,CIV,2018,4
Finland,FIN,1970,10
Finland,FIN,1971,10
Finland,FIN,1972,10
Finland,FIN,1973,10
Finland,FIN,1974,10
Finland,FIN,1975,10
Finland,FIN,1976,10
Finland,FIN,1977,10
Finland,FIN,1978,10
Finland,FIN,1979,10
Finland,FIN,1980,10
Finland,FIN,1981,10
Finland,FIN,1982,10
Finland,FIN,1983,10
Finland,FIN,1984,10
Finland,FIN,1985,10
Finland,FIN,1986,10
Finland,FIN,1987,10
Finland,FIN,1988,10
Finland,FIN,1989,10
Finland,FIN,1990,10
Finland,FIN,1991,10
Finland,FIN,1992,10
Finland,FIN,1993,10
Finland,FIN,1994,10
Finland,FIN,1995,10
Finland,FIN,1996,10
Finland,FIN,1997,10
Finland,FIN,1998,10
Finland,FIN,1999,10
Finland,FIN,2000,10
Finland,FIN,2001,10
Finland,FIN,2002,10
Finland,FIN,2003,10
Finland,FIN,2004,10
Finland,FIN,2005,10
Finland,FIN,2006,10
Finland,FIN,2007,10
Finland,FIN,2008,10
Finland,FIN,2009,10
Finland,FIN,2010,10
Finland,FIN,2011,10
Finland,FIN,2012,10
Finland,FIN,2013,10
Finland,FIN,2014,10
Finland,FIN,2015,10
Finland,FIN,2016,10
Finland,FIN,2017,10
Finland,FIN,2018,10
Pakistan,PAK,1972,4
Pakistan,PAK,1973,8
Pakistan,PAK,1974,8
Pakistan,PAK,1975,8
Pakistan,PAK,1976,8
Pakistan,PAK,1977,-7
Pakistan,PAK,1978,-7
Pakistan,PAK,1979,-7
Pakistan,PAK,1980,-7
Pakistan,PAK,1981,-7
Pakistan,PAK,1982,-7
Pakistan,PAK,1983,-7
Pakistan,PAK,1984,-7
Pakistan,PAK,1985,-4
Pakistan,PAK,1986,-4
Pakistan,PAK,1987,-4
Pakistan,PAK,1988,8
Pakistan,PAK,1989,8
Pakistan,PAK,1990,8
Pakistan,PAK,1991,8
Pakistan,PAK,1992,8
Pakistan,PAK,1993,8
Pakistan,PAK,1994,8
Pakistan,PAK,1995,8
Pakistan,PAK,1996,8
Pakistan,PAK,1997,7
Pakistan,PAK,1998,7
Pakistan,PAK,1999,-6
Pakistan,PAK,2000,-6
Pakistan,PAK,2001,-6
Pakistan,PAK,2002,-5
Pakistan,PAK,2003,-5
Pakistan,PAK,2004,-5
Pakistan,PAK,2005,-5
Pakistan,PAK,2006,-5
Pakistan,PAK,2007,2
Pakistan,PAK,2008,5
Pakistan,PAK,2009,5
Pakistan,PAK,2010,6
Pakistan,PAK,2011,6
Pakistan,PAK,2012,6
Pakistan,PAK,2013,7
Pakistan,PAK,2014,7
Pakistan,PAK,2015,7
Pakistan,PAK,2016,7
Pakistan,PAK,2017,7
Pakistan,PAK,2018,7
Venezuela,VEN,1970,9
Venezuela,VEN,1971,9
Venezuela,VEN,1972,9
Venezuela,VEN,1973,9
Venezuela,VEN,1974,9
Venezuela,VEN,1975,9
Venezuela,VEN,1976,9
Venezuela,VEN,1977,9
Venezuela,VEN,1978,9
Venezuela,VEN,1979,9
Venezuela,VEN,1980,9
Venezuela,VEN,1981,9
Venezuela,VEN,1982,9
Venezuela,VEN,1983,9
Venezuela,VEN,1984,9
Venezuela,VEN,1985,9
Venezuela,VEN,1986,9
Venezuela,VEN,1987,9
Venezuela,VEN,1988,9
Venezuela,VEN,1989,9
Venezuela,VEN,1990,9
Venezuela,VEN,1991,9
Venezuela,VEN,1992,8
Venezuela,VEN,1993,8
Venezuela,VEN,1994,8
Venezuela,VEN,1995,8
Venezuela,VEN,1996,8
Venezuela,VEN,1997,8
Venezuela,VEN,1998,8
Venezuela,VEN,1999,7
Venezuela,VEN,2000,7
Venezuela,VEN,2001,6
Venezuela,VEN,2002,6
Venezuela,VEN,2003,6
Venezuela,VEN,2004,6
Venezuela,VEN,2005,6
Venezuela,VEN,2006,5
Venezuela,VEN,2007,5
Venezuela,VEN,2008,5
Venezuela,VEN,2009,-3
Venezuela,VEN,2010,-3
Venezuela,VEN,2011,-3
Venezuela,VEN,2012,-3
Venezuela,VEN,2013,4
Venezuela,VEN,2014,4
Venezuela,VEN,2015,4
Venezuela,VEN,2016,4
Venezuela,VEN,2017,-3
Venezuela,VEN,2018,-3
Zambia,ZMB,1970,0
Zambia,ZMB,1971,0
Zambia,ZMB,1972,-9
Zambia,ZMB,1973,-9
Zambia,ZMB,1974,-9
Zambia,ZMB,1975,-9
Zambia,ZMB,1976,-9
Zambia,ZMB,1977,-9
Zambia,ZMB,1978,-9
Zambia,ZMB,1979,-9
Zambia,ZMB,1980,-9
Zambia,ZMB,1981,-9
Zambia,ZMB,1982,-9
Zambia,ZMB,1983,-9
Zambia,ZMB,1984,-9
Zambia,ZMB,1985,-9
Zambia,ZMB,1986,-9
Zambia,ZMB,1987,-9
Zambia,ZMB,1988,-9
Zambia,ZMB,1989,-9
Zambia,ZMB,1990,-9
Zambia,ZMB,1991,6
Zambia,ZMB,1992,6
Zambia,ZMB,1993,6
Zambia,ZMB,1994,6
Zambia,ZMB,1995,6
Zambia,ZMB,1996,1
Zambia,ZMB,1997,1
Zambia,ZMB,1998,1
Zambia,ZMB,1999,1
Zambia,ZMB,2000,1
Zambia,ZMB,2001,5
Zambia,ZMB,2002,5
Zambia,ZMB,2003,5
Zambia,ZMB,2004,5
Zambia,ZMB,2005,5
Zambia,ZMB,2006,5
Zambia,ZMB,2007,5
Zambia,ZMB,2008,7
Zambia,ZMB,2009,7
Zambia,ZMB,2010,7
Zambia,ZMB,2011,7
Zambia,ZMB,2012,7
Zambia,ZMB,2013,7
Zambia,ZMB,2014,7
Zambia,ZMB,2015,7
Zambia,ZMB,2016,6
Zambia,ZMB,2017,6
Zambia,ZMB,2018,6
